18018	Shampaq (Liane der puna, mit runden, essbaren, sauren Früchten von roter Farbe mit hellen Streifen)	shampac (liana of the puna with round, eatable, sour fruits of red color with light lines)	shampac (bejuco de la puna, de frutos ácidos, redondos y de color verde con rayas claras. Es comestible)
18019	Knie	knee	rodilla
18020	rötlich gelb (charakteristische Farbe von Wasserstellen)	reddish yellow (characteristic colour of water places)	amarillo rojizo (color característico del aguaje)
18021	Zambo (indianisch-schwarzer Mischling)	zambo (half-caste Indian/black)	zambo; hijo de negro e indígena, o al contrario
18022	Kürbis	pumpkin; squash	calabaza; sambo
18023	leicht; weich; zart; schlaff; kraftlos; demütig	light (not heavy); soft; delicate; docile; strengthless; humble	liviano; suave; delicado; flojo; sin fuerza; humilde; apocado; manso
18024	schlecht gewebt; lose (Gewebe); dünn (Gewebe)	badly woven; loose (tissue); thin (tissue)	mal tejido; flojo (tejido)
18025	Weichhheit	softness	blandura; suavidad
18026	dünnes oder lockeres Tuch weben	to weave loose or thin cloth	tejer flojo
18027	weich machen	to soften	suavizar; ablandar
18028	ermüden	to tire	cansar(se)
18029	zerschmettern	to smash	estrellar
18030	heilig	holy; saint	san; santo; santa
18031	Buchstabe	letter (litera)	letra; grafema; signo alfabético; signo; indicio; señal
18032	Alphabet	alphabet	alfabeto
18033	Fibel; ABC; Alphabet; Buchstabe	spelling-book; ABC; alphabet; letter	abecedario; alfabeto; letra
18034	wörtlich	literal	literal
18035	kennzeichnen; markieren	to mark	marcar; poner señal o marca
18036	buchstabieren; entziffern	to alphabetize; to spell; to decipher	deletrear
18037	wörtlich	literal	literal
18038	Zeichen	sign	signo
18039	Heilpflanzen (verschiedene Arten) des Regenwaldes, in der Volksmedizin gegen Lähmung und Neuralgie verwendet	various kinds of medicinal plants of the rainforest used in popular medicine against neuralgia and paralysis; hibiscus	sanango; varias especies de plantas medicinales de la selva, de propiedades medicinales para neuralgia y paralisis
18040	Zeichen	sign; mark	señal; marca
18041	Mantellinie; Erzeugende; Kante; Generatrix	generatrix	generatriz
18042	Charakter	character	carácter
18043	charakterisieren; kennzeichnen	to characterize; to characterise	caracterizar
18044	Qualität; Eigenschaft	quality	cualidad
18045	beurteilen	to judge	calificar
18046	Ebenmaß; Symmetrie	symmetry	simetría
18047	Ebenmaß; Symmetrie	symmetry	simetría
18048	abstufen; abmessen	to graduate	graduar
18049	Eifersucht	jealousy	celos
18050	verstecken; verheimlichen	to hide	celar
18051	Obstpflanze (Art)	kind of fruit plant	shanchi; especie de planta frutal
18052	parasitische Pflanze (Art), in der Volksmedizin verwendet bei Knochenbrüchen, Leistenbrüchen und Verletzungen	kind of parasitic plant used in popular medicin against fractures, hernias and lesions	suelda con suelda; planta parasita silvestre usada en medicina popular contra las fracturas, hernias y lisiaduras
18053	Stadt und Provinz im Departement Puno (Peru)	town and province in the Department of Puno (Peru)	ciudad y provincia en el Departamento de Puno (Perú)
18054	Ameise	ant	hormiga
18055	Graben	ditch; dike	zanja
18056	Riefen-Reiher; Vogel (Art)	straited heron; kind of bird	san jacinto (garza); garza estriada; especie de ave
18057	hellbraun; bleifarben; karmesinrot	bright brown; lead-coloured; livid; crimson; violet; purple; light purple	pardusco; color plomo; gris; color morado; lila; morado; encarnado; oscuro; leonado; color carbón; violáceo
18058	hellbraune Kartoffel; Kartoffel (Art)	purple potato; type of potato	papa morada; especie de papa
18059	karmesinrot	crimson	carmín; color carmesí; carmesí
18060	Zyanose	cyanosis	cianosis
18061	Gaumen	palate	paladar
18062	Zäpfchen (am Gaumen)	uvula	galillo; uvula
18063	Fisch (Art) des Amazonasgebiets	kind of fish of the Amazon	sábalo; shangatima; especie de pez de la Amazonía
18064	Gaumenbein; Gaumenknochen	palatine	palatino
18065	Säulenkaktus (Art) der unteren Qhichwa-Region	kind of column cactus of the lower qhichwa region	especie de cactácea columnar propia de la quechua baja
18066	sich lustig machen; höhnen; spotten	to mock; to jeer; to sneer	burlarse; mofarse
18067	arbeiten	to work	trabajar
18068	Mücke	mosquito	mosquito
18069	Pflanze, die verwendet wird zum Gelb Färben 	plant used to dye yellow 	sangurachi; planta usada para teñir de amarillo 
18070	Klippe; Felsen	cliff; gully; ravine	peña; roca; precipicio; abismo; zanja
18071	dickflüssig	thick (liquid); viscous; doughy; dense (liquids); thick; dense; muddy; cloudy	espeso; pastoso; denso; turbio; espeso; denso
18072	Mehl; Teig; Brei aus gemahlenem Mais, Zucker und anderen Zutaten; typisches nordargentinisches Gericht	flour; meal; dough; porridge made of ground corn, sugar, and other condiments; typical North Argentinian meal; cornmeal porridge; corn bread	harina; pasta; masa; mazamorra hecha de maíz molido, azúcar y otros condimentos; sango; una comida típica del norte argentino
18073	eindicken; dickflüssig machen	to thicken (liquid); to become dense	espesar; hacer más denso
18074	Sanku (Brei) machen	to make sanku	hacer sango
18075	eindicken; dickflüssig machen	to thicken (liquid); to become dense	espesar; hacer más denso
18076	eindicken; dickflüssig werden	to thicken (liquid); to become dense	espesarse
18077	Shanllalli (auf Felsen wachsende Pflanze der Puna mit kleinen Blüten. Für Kinder, die zu spät sprechen lernen, wird sie gerieben oder das Wasser ihrer Blüten genommen)	shanllalli (plant of the puna with small flowers growing on rocks. It is rubbed or the water of the flowers is taken for children who are late in learning to speak)	shanllalli (planta de la puna de flores pequeñas que crece en las rocas. Se frota o se hace tomar el agua de sus flores a los niños que tardan en hablar)
18078	Verdauungskanal	alimentary canal	canal digestivo
18079	schwach	weak	débil; desfallecido
18080	Spiegelung; glühende Kohlen; Glut	reflection; burning coal; coal (red hot); glow; blaze	reflexión; brasa candente; carbón encendido; ascua; brasa; rescoldo
18081	schwanken; baumeln	to rock; to dangle; to swing	vacilar; tambalear
18082	spiegeln; reflektieren	to reflect	reflejar
18083	brennen	to burn	quemar; arder (sin llamas)
18084	Hoatzin; Vogel (Art)	hoatzin; kind of bird	hoatzin; shansho; especie de ave
18085	Fluss im Departement Ancash (Peru); (span.) río Santa	river in the department of Ancash (Peru); (Span.) río Santa	río en el departamento de Ancash (Perú); (esp.) río Santa
18086	Ameisenvogel (Art)	kind of ant bird	santilica; especie de ave formicárida de la selva ecuatoriana que se alimentan principalmente de hormigas
18087	heilig	holy; saint	santo; santa
18088	Geburtstag	birthday	cumpleaños
18089	braun; kaffeebraun	brown	café (color)
18090	gesund	healthy	bien (de salud); sano
18091	genesen; kurieren; gesund werden	to recover; to convalesce; to cure; to become healthy	convalecer; curar
18092	rosa; lila; purpurfarben	purple; lilac	color morado; violeta; lila; morado claro
18093	lila werden	to become purple	ponerse morado
18094	Kaffee (Pflanze)	coffee (plant)	café (planta)
18095	töpfern	to make ceramics; to do pottery	producir cerámica
18096	Aluminium	aluminium	aluminio
18097	modellieren	to model	modelar; modelar en cerámica
18098	jede; jeder; jedes	every; each; any	cada; cada uno; único; solo
18099	allein; alleinig; einzig	alone; each; only; unique, the one and only	solo; solitario; sin compañía; singular
18100	Einzahl; Singular	singular	singular
18101	Andenpriester sechsten Grades, dessen physischer Leib von anderen leuchtend gesehen werden kann	male priest of the 6th level; one whose physical body can be seen by others to literally glow with light	sacerdote andino del sexto nivel, cuyo cuerpo físico puede ser visto brillando por otros
18102	sich absondern	to separate oneself; to isolate oneself	aislarse
18103	anfangen zu laufen (Kind)	to start walking (infant)	comenzar a andar un bebé
18104	einfaches Phonem	simple phoneme	fonema simple
18105	halbmonatlich; vierzehntägig	fortnightly; two-week	quincenal
18106	der einzige Herrscher Inka	the Inka ruler; the only Inka	el único rey Inka
18107	monatlich	monthly	mensual
18108	monatlich	monthly	mensual
18109	oft	often	con frecuencia; cada vez; todas las veces; habitual
18110	allein; einsam; ledig; verwitwet	single; alone; widow; widower; only	sólo; solitario; solo; viudo; soltero; único
18111	jede; jeder; jedes	everyone; everybody	cada; cada uno; cada una
18112	allein; nur	only	solo; solamente
18113	Witwe; Witwer	widow; widower; orphan; bachelor	viudo; viuda
18114	Einsamkeit	loneliness	soledad
18115	allein; nur er; er allein; nur sie; sie allein	alone; just he; just she; only	solo; el sólo; sola; único; aislado; desamparado; huérfano; viudo; solitario; soltero; uno solo; unico; él solo no más
18116	eineindeutige Entsprechung	one-to-one correspondence	correspondencia biunívoca
18117	entfernen; absondern; allein lassen	to take away; to separate; to leave alone	aislar; dejar solo
18118	gemeinsamer einfacher (monomischer) Faktor	common monomial factor	factor común monomio
18119	einfacher Satz	simple sentence	oración simple
18120	Individual-Nomen; Singulativum (etwas Einzelnes bezeichnendes Substantiv)	count noun; singulative noun	sustantivo individual
18121	Kürbis	pumpkin; squash; type of squash	zapallo; planta parecida a la calabaza; sapallo
18122	Baum (Art) mit leichtem Holz	kind of tree with light wood	una variedad de árbol de madera liviana
18123	allein	alone	solitario; aislado; sólo; único; solo
18124	jeder; jede	everyone	cada quien; cada uno
18125	Einheit; Einigkeit	unity	unidad
18126	Maßeinheit; Einheit (Maß)	unit (of measurement)	unidad (de medida)
18127	Zopf; Flechte	braid; braid of hair	trenza; trenza de cabello
18128	einzeln; ledig	solitary	soltero; solitario
18129	jeder; jede	everyone	cada quien; cada uno
18130	Rassismus	racism	racismo
18131	unpaarig; ungerade (Zahl)	odd; unpaired	impar
18132	allein	alone	solitario; aislado; sólo; a solas
18133	Population (Statistik)	population (statistics)	población estadística
18134	unverheiratet	unmarried	soltero; soltera
18135	jährlich	annual; yearly	anual
18136	Egoist	egoist	egoísta
18137	Prozentsatz; Anteil von Hundert	percentage	porcentaje
18138	injektive Funktion	injective function	inyectiva
18139	jeden Tag	every day; daily	cada día; cotidianamente; diario
18140	verschieden; unterschiedlich; anders	different	diferente
18141	andersartig; anders; unterschiedlich	different; distinct	diferente; aparte; particular; especial; único
18142	unterscheiden; trennen	to distinguish; to separate	distinguir; separar; apartar
18143	Einzahl; Singular	singular	singular (número)
18144	einfacher Satz	simple sentence	oración simple
18145	je ein; jeder einzelne	each	sendos; a cada uno
18146	stampfen; trampeln	to stamp	zapatear
18147	Schuh	shoe	zapato
18148	ich allein und niemand anderes	I alone and no one else	yo solo no más
18149	Erzeugung gepaarter Energie-Ringe	creation of paired energy rings	creación de anillos de energía a parejas
18150	ich der König dieser Erde oder oberster Herr und Richter (Titel des Inka)	I the king of this earth or supreme lord and judge (title of the Inka)	yo el rey de esta tierra o supremo señor y juez (título de Inka)
18151	Herr der Edelleute	head of the noblesse	principal de los caballeros nobles
18152	oberster Herr (Herr der Herren, Titel des Inka)	highest lord (lord of the lords, title of the Inka)	mayor señor (señor de los señores, señor por excelencia, título del Inka)
18153	einsam werden; als einziger verbleiben	to become alone; to remain the only one	quedarse sólo
18154	allein weggehen	to go off alone	salir solo
18155	ich der König dieser Erde oder oberster Herr und Richter (Titel des Inka)	I the king of this earth or supreme lord and judge (title of the Inka)	yo el rey de esta tierra o supremo señor y juez (título de Inka)
18156	Einsamkeit	loneliness	soledad
18157	Prinzessin	princess	infanta
18158	Königin	queen	reina
18159	grober Poncho	coarse poncho	poncho grueso
18160	unverheiratet	unmarried	soltero
18161	Bart; Körperhaare; Schamhaare	beard; hairs of the body; pubic hairs	barba; vellos; bigote; bigotes; vello; pelo en los brutos
18162	luftentleert; luftleer	deflated	desinflado
18163	gemeinschaftlich; gemeinsam; kommunal; gemeindeeigen; allgemein; gewöhnlich	collective; communal; common; general	colectivo; comunitario; común; general; ordinario; corriente
18164	Eigenschaften; Charakterisierung	characteristics; characterization	características; característica
18165	kollektive Rechte	collective rights	derechos colectivos
18166	Finanzen	finance	finanzas
18167	Eigenschaften	characteristics	características
18168	allgemein; im Allgemeinen	generally	generalmente
18169	gemeinsamer Name	common name	nombre común
18170	Sozialismus	socialism	socialismo
18171	unangepasst; faul	unadjusted	desajustado; flojo
18172	erschlaffen; nachlassen	to droop; to slug	aflojar
18173	unangepasst werden	to become unadjusted	desajustarse
18174	kleinwüchsig; unterentwickelt	atrofiado; mal desarrollado	stunted (in growth)
18175	Kröte	toad	sapo; batracio
18176	großer Farn des Regenwaldes	big fern of the rain forest	shapumba; shapumba (helecho grande); sapumpa
18177	Wurzel	root	raíz
18178	Ursprung	origin; beginning	origen; principio
18179	Wurzel (eines Wortes)	root (of a word)	raíz (de una palabra)
18180	Fluss in Qosqo	river in Qosqo	río en la ciudad de Cuzco
18181	Wurzeln im Körper (im Hals, im Herzen, im Magen, im Hintern) für die Projektion von Energie	roots in the body (in the neck, the heart, the stomach, the buttocks) for the projection of energy	raíces en el cuerpo (en el cuello, el corazón, el estómago, el trasero) para la proyección de energía
18182	Wurzeln schlagen	to sprout roots; to put down roots; to deepen	echar raíces; arraigar
18183	Nachsilbe; Suffix	suffix	sufijo
18184	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar
18185	die Erweckung der Wurzeln	awaking the roots	despertar las raíces
18186	komplex	complex	complejo
18187	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar; enraizar
18188	Wurzeln schlagen	to sprout roots; to put down roots; to deepen	arraigarse; echar raíces; arraigar
18189	Wurzeln schlagen	to sprout roots; to put down roots	echar raíces; arraigar
18190	Geschwindigkeit	speed	velocidad
18191	Chinese	chinese	chino
18192	aschfarben; blau; grau	grey; ash-gray; blue	gris; ceniciento; azul
18193	rauh	rough	áspero
18194	Netz	web; net	red
18195	Shaqapa (Baum der Region Rupha-Rupha (Selva alta), dessen trockene Früchte als Schellen dienen)	shacapa (tree of the rupha-rupha (selva alta) region whose dried fruits are used as small bells)	shacapa (árbol de la selva alta cuyos frutos secos sirven de cascabel)
