ID	Deutsch	English	Español	Italiano	Français
18315	schwierig werden	to become difficult	tornarse difícil	diventare difficile	
18316	kaum; mit Mühe; schwierig	with difficulty; difficultly	difícilmente	difficilmente	
18317	zusammengesetzter Satz; Satzgefüge	complex sentence	oración compuesta; oración compleja	frase composta; frase complessa	
18318	Fasten	fasting	ayuno; abstención	digiuno; astinenza	
18319	Methode zum Erlernen (Weitergeben) des kollektiven Wissens der Vorfahren durch Begrenzung des Ressourcenverbrauchs oder durch Ausführung einer Tätigkeit, die von den Vorfahren und Schamanen vorgegeben wurde (Ketschua des ecuadorianischen Amazonastieflands)	a methodology for learning the sacha runa yachai by restricting the use of a resource or by carrying out an act dictated by the ancestors and the shamans (Kichwa of the Ecuadorian Amazon)	una metodología para el aprendizaje del conocimiento ancestral (sacha runa yachay), mediante la restricción en la utilización de un recurso o en la práctica de una acción, establecida por los ancestros y por los shamanes (Quichua de la Amazonía ecuatoriana)	metodo di apprendimento; [metodo di apprendimento di una conoscenza ancestrale (sacha runa yachay), mediante la restrizione dell'utilizzo di una risorsa, o la pratica di una azione, stabilita dagli antenati e dagli sciamani (quechua della Amazzonia dell'Ecuador)]	
18320	Gemeinde am Fluss Lurín (Pachakamaq Mayu), in der Provinz Huarochiri (Departement Lima, Peru); (span.) Sacicaya	community on the Lurín river (Pachakamaq Mayu), in the province of Huarochiri (Department of Lima, Peru); (Span.) Sacicaya	comunidad a orillas del río Lurín (Pachakamaq Mayu), en la provincia de Huarochirí (departamento de Lima, Perú); (esp.) Sacicaya	Sasikaya; [comunità presso le sponde del fiume Lurin (Pachakamaq Mayu), nella provincia di Huarochirì, dipartimento di Lima, Perù]	
18321	November	November	noviembre	novembre	
18322	ein Sohn des Paryaqaqa in den Erzählungen von Waruchiri; (span.) Sasenmale	a son of Paryaqaqa in the tales of Waruchiri; (Span.) Sasenmale	un hijo de Paryaqaqa en los cuentos de Huarochirí; (esp.) Sasenmale	Sasenmale; [un figlio di Paryaqaqa nei racconti di Huarochirì]	
18323	fasten	to fast	ayunar	digiunare	
18324	sehr schnell	very fast	muy rápido; ágil; ligero	molto rapido, agile; leggero	
18325	Indianer, fern der Zivilisation lebend	indigenous living far from civilization	indígena que vive alejado de la civilización	indigeno; [indigeno che vive isolato dalla civilizzazione]	
18326	hineingetan	put into	metido; entrometido	intromesso; messo	
18327	ohne Erlaubnis eintreten	to enter without permission	entrar sin permiso	entrare senza permesso	
18328	Verbindungsstück	connector	objeto con que se enchufa	spina; connettore; [connettore con cui si infila]	
18329	Eindringling; indiskret	intruder; indiscreet	intruso; indiscreto; entrometido; metete	intruso; indiscreto; intromesso	intrus; indiscret
18330	hineingeraten; sich hineinbegeben; sich einmischen	to get in; to get into; to meddle	meterse; entremeterse	intromettersi	
18331	Eindringling; Störenfried	intruder	intruso	intruso	
18332	Einfügung; Anschluss; Verbindung; Geschlechtsakt	insertion; connection; coitus	introducción (física); enchufe; coito	introduzione; connessione; coito	
18333	hineintun; hineinstecken; einfügen; anschließen; Geschlechtsverkehr treiben	to put into; to put in; to plug in; to inject; to insert; to connect; to copulate	introducir; encajar; enchufar; meter; meter en; poner adentro; copular; insertar	introdurre; mettere dentro; copulare; inserire	emboîter; encastrer; enfoncer (trans.)
18334	Ehe; Eheschließung	marriage; matrimony	matrimonio; enlace; casamiento; nupcias	matrimonio; nozze	
18335	verheiraten	to make marry	hacer casar	fare sposare	
18336	anliegend; angrenzend	neighbouring; adjoining; place; spot	adyacente	adiacente	
18337	heiraten; sich verheiraten	to marry; to get married; to marry	casarse; contraer matrimonio	sposarsi; contrarre matrimonio	
18338	Verschwägerte; Angeheiratete	in-laws	parientes políticos	parenti politici	
18339	heiraten; sich verheiraten	to marry; to get married	casarse; contraer matrimonio	sposarsi; contrarre matrimonio	
18340	verheiratet	married	casado	sposato; maritato	
18341	binden; heiraten	to bind; to marry	enlazar; casar; casarse	allacciare; sposare	
18342	etwas mit Stengeln in einem Tuch tragen	to carry in a blanket something with stalks	cargar con una manta algo que tiene tallos; cargar	caricare con uno scialle qualcosa con gambi	
18343	abtrünnig; wütend	renegade; furious; raging	renegón; rabioso; enojado	gayaba; [albero da frutto di colore giallo e agrodolce; è utilizzato contro la diarrea]; [tax. bin: Psidium gayaba]	
18344	sich lossagen; verabscheuen	to turn renegade; to loathe; to get angry	renegar; enfadarse	rinnegare; arrabbiarsi	
18345	Obstbaum (Art); Guave	kind of fruit tree; guava	variedad de árbol frutal; guayaba; guayaba - arbusto de fruto de color amarillo agridulce (se usa contra la diarrea)	guayaba; [albero da frutto di colore giallo e agrodolce; è utilizzato contro la diarrea]; [tax. bin: Psidium gayaba]	
18346	Spott	mockery	burla	burla; scherzo	
18347	schlechtes Vorzeichen	bad omen	mal agüero	malaugurio	
18348	Erzählungen zum Zeitvertreib	fables for pastime	fábulas de pasatiempo	favole di passatempo	
18349	Holunder; Pflanze, deren Früchte verwendet werden zum Rosa (Purpur) Färben	elder; elderberry; plant, fruit used to dye purple	sauco; planta cuyas frutas se usan para teñir de morado	sauco; [pianta il cui frutto è usato per tingere di viola]; [tax. bin: Sambucus mexicana]	
18350	räuchern; eine Krankheit (des Viehs) heilen oder ihr vorbeugen mit Hilfe des Rauchs bestimmter Pflanzen (Eukaliptus, Peperoni - in die Mitte der Herde werden glühende Kohlen gelegt, in die Blätter und getrocknete Schoten geworfen werden, die einen scharfen Rauch erzeugen, der das Vieh niesen und muhen lässt)	to fumigate; to heal or prevent any disease (of cattle) by the smoke of certain plants (eucaliptus, chili) - the glowing coals are put into the middle of the flock, then the leaves nad chillies are thrown into the fire and produce a spicy smoke that makes the cattle sneeze and moo)	sahumar; curar o prevenir alguna enfermedad mediante el humo de ciertas plantas (eucalipto, ají, gua  - en el centro del rebaño se ponen las brasas donde se echan las hojas y ajíes secos que producen humo picante que hace estornudar y moquear al ganado)	affumicare; [curare o prevenire qualche malattia mediante il fumo di certe piante (eucalipto, peperoncino, gua); le braci ardenti sono poste nel mezzo degli astanti, poi le foglie e i peperoncini secchi vengono gettati sopra e producono un fumo pungente che fa starnutire e perdere muco dal naso]	
18351	Kissen	pillow	almohada; cabecera	cuscino	
18352	Kopfkissen	pillow	cabecera	cuscino	
18353	sich auf ein Kissen stützen; sich an ein Kissen lehnen	to lean against a pillow; to rest on a pillow; to recline or lean; to get closer to	apoyarse sobre una almohada; reclinarse sobre una almohada; colocar la almohada bajo la cabeza; hacer la cabecera; poner por cabecera	appoggiarsi su un cuscino; mettere il cuscino sotto alla testa	
18354	Tal; Wiese	valley; meadow	valle; prado	valle; prato	
18355	Tal; Wiese	valley; meadow	valle; prado	valle; prato	
18356	Baum mit weißem Holz und Hülsenfrüchten, die lange an den Zweigen hängen	kind of tree with white wood and pods hanging on the branches for a long time; andean tree with white wood	huaranhuay; variedad de arbusto de madera blanca cuyos frutos en forma de vaina cuelgan de las ramas durante largo tiempo, abunda en lugares vecinos a los ríos	huaranhuay; [varietà di arbusto, dal legno bianco, i cui frutti a forma di guaina, pendono dagli alberi per lungo tempo; abbonda vicino ai fiumi]; [tax. bin: Tecoma stans; ord: Lamiales; fam: bignominaceae]	
18357	Weide	willow	sauce	salice	saule
18358	weich	soft	suave	soffice; morbido	
18359	hör zu!; hört zu!	listen!	¡oye!	Ascolta!; Senti!	
18360	dargestellt werden	to be presented	ser representado	essere rappresentato	
18361	einander unterstützen; sich gegeneinander stützen	to support each other	aguantar (uno a otro); soportar (uno a otro)	sopportarsi reciprocamente	
18362	aufrichten; aufstellen	to draw up; to put upright; to construct	enderezar; poner derecho; construir; hacer parar; detener; ubicar; parar; colocar verticalmente	raddrizzare; mettere diritto; costruire; elevare; fare fermare; trattenere; ubicare; fermare; collocare verticalmente	dresser (mettre debout)
18363	Stein, der ein Fuß ist (wörtlich); von Menschen aufgestellter Stein	stone that is foot (lit.); stone erected by people	piedra que está pie (lit.), menhir, piedra plantada	pietra verticale; [lit. que: pietra (rumi) che sta diritta (sayakuq)]	
18364	anhalten; stehenbleiben; sich aufhalten; auf seinen Füßen stehen; aufrecht stehen	to stay; to stop; to halt; to stand on one's feet; to stand upright	pararse; detenerse; estar de pie; estar parado	sostare; fermarsi; stare in piedi	
18365	senkrecht; vertikal	vertical	vertical	verticale	
18366	Halt; Aufenthalt; Stillstand	stop; halt; stay; standstill	parada; paradero	fermata	
18367	aufgezogene Kette (Weberei); vorbereiteter Aufzug (Weberei); Zettel (Weberei)	prepared warp yarns; warp assemblage	urdimbre preparada	ordito preparato	
18368	ganzes Kleid	whole dress	vestido entero	vestito intero	
18369	anhalten; stehen bleiben; still stehen; aufstehen	to stop; to halt; to stand still; to stand up	detenerse; pararse; mantener en pie; levantarse	fermarsi; mantenere in piedi; stare in piedi; alzarsi	
18370	Garnison; Wache	garrison; guard	presidio; guardia; guarnición militar	presidio; guardia; guarnizione militare	
18371	steil; hochgewachsen; senkrecht; vertikal; aufrecht	steep; tall; vertical; upright; erect	escarpado; acantilado; alto de estatura; vertical; de pie; parado; empinado; muy alto; perpendicular; erguido	alto; verticale; in piedi; ripido	
18372	Pfosten; Pfeiler	pale; pole; stake; post	poste	palo; paletto; asta	
18373	Erwachsener	adult	adulto; adulto (hombre que concurre a las obligaciones comunales)	adulto; [uoco a cui competono gli obblighi comunali]	
18374	senkrechte Linie; Längsstrich	vertical line	línea vertical	linea verticale	
18375	Erhebung	elevation	levantamiento	elevazione	
18376	bauen; aufbauen; aufstellen	to build; to construct; to construct	construir; levantar; construir; edificar; erigir; instituir; poner erguido o de pie	costruire; elevare; edificare; erigere; instituire; mettere in piedi	
18377	aufstehen	to get up; to stand up	levantarse; pararse	alzarsi	
18378	Auferstehung	resurrection	resurrección	ressurrezione	
18379	aufstehen; anhalten; stehen bleiben; auferstehen	to stand up; to stop; to halt; to stand; to arise; to arise; to uplift; to resurrect	levantarse; detenerse; parar; estar de pie; pararse; ponerse de pie; ponerse de pie; pararse; levantar otro; poner otro a pie; surgir; resurgir; dejar la cama en las mañanas	alzarsi; fermarsi; stare in piedi; sorgere; risorgere; alzarsi dal letto	arrêter (intr.); s'arrêter; se lever
18380	angehalten	stopped	parado	fermato	
18381	steil	steep	escarpado; altura; talla; estatura; volumen; tamaño	scarpata; altura; statura; taglia	
18382	Größe	size; height; stature; size	tamaño; talle; estatura; estar de pie; parado; talle; estatura; altura (de cosa o de persona); talla	taglia; altezza; stare in piedi; statura	
18383	aufstehen; anhalten; stehen bleiben	to stand up; to stop; to halt; to stand; to behave	levantarse; detenerse; parar; estar de pie; pararse; ponerse de pie; estar habitualmente en un lugar; frecuentar; estar parado; estar presente; posarse las aves	alzarsi; fermarsi; stare in piedi; stare abitualmente in un luogo; frequentare; essere presente	arrêter (intr.); s'arrêter; se lever
18384	aufhalten; zum Stehen bringen	to stop; to halt	parar; detener	fermare; trattenere	
18385	aufhalten; zum Stehen bringen; aufstellen; einen Pfahl aufstellen	to stop; to halt; to raise; to raise a pole	hacer parar, detener; parar (poner en posición vertical); plantar un palo	fermare; alzare; trattenere; mettere in posizione verticale; piantare un palo	
18386	aufstehen lassen; jemanden zum Aufstehen bringen	to make someone stand up; to make to stand up; to make to get up; to disturb; to incite	hacer levantar; obligar a levantarse; hacer que una persona se levante; levantar algo/ otro; construir; edificar; levantar algo/ otro; construir; edificar	fare alzare; obbligare ad alzarsi; fare in modo che una persona si alzi; alzare; costruire; edificare	
18387	stehen bleiben; anhalten; aufstehen	to stop; to halt; to stand still; to stand up	detenerse; ponerse de pie; enfrentar a manera de pelea; pararla; detenerse por un instante, lentamente	fermarsi; trattenersi; mettersi in piedi; affrontare un litigio	s'arrêter
18388	aufstehen; sich erheben	to get up; to stand up	levantarse; erguirse; alzarse; sublevarse; progresar; salir de la cama; ponerse de pie	alzarsi; erigersi; sollevarsi; uscire dal letto; mettersi in piedi	se lever; se dresser; se retirer
18389	Höhe	tallness	altura; tamaño	altura	
18390	ganzes Kleid	whole dress	vestido entero	vestito intero	
18391	Höhe; Höhenlage	altitude	altitud	altezza; altitudine	
18392	Müdigkeit; Ermüdung; Mattheit	tiredness; fatigue; weariness	cansancio; fatiga; agotamiento	stanchezza; fatica	
18393	ermüden; müde machen	to tire; to make tired	cansar; hacer cansar; fatigar	stancare; fare stancare; affaticare	fatiguer
18394	aufgeregt sein	to be agitated (through exhaustion or fatigue)	estar agitado	essere agitato; [in seguito a esasperazione o affaticamento]	
18395	müde	tired; weary; fatigued	cansado; fatigado	stanco; affaticato	fatigué
18396	Müdigkeit	tiredness; weariness; fatigue	cansancio; fatiga	stanchezza; fatica	fatigue
18397	ermüden; müde werden	to tire; to become tired; to get tired; to be exhausted; to pant	cansarse; fatigarse; agotarse; jadear	stancare; diventare stanco; essere esausto; ansimare	se fatiguer
18398	Saylla (wilde Pflanze, Art, eine Illa des Mais)	saylla (kind of wild plant, an illa of maize)	saylla (especie de planta, una illa del maíz)	saylla; [specie di pianta selvatica, una illa del mais]	
18399	Städtchen im Departement Qosqo (Peru); (span.) Saylla	town in the Department of Qosqo (Peru); (Span.) Saylla	pueblo en el departamento del Qosqo (Perú); (esp.) Saylla	Saylla; [paese nel dipartimento del Cuzco, Perù]	
18400	Stunde	hour	hora	ora	
18401	Zeitzone	time zone	huso horario; zona horaria	fuso orario; zona oraria	
